movie,production_budget,domestic_gross_x,worldwide_gross,studio,year
Thor: Ragnarok,180000000,315058289,846980024,BV,2017
A Bad Moms Christmas,28000000,72110659,127710550,STX,2017
Jigsaw,10000000,38052832,102445196,LGF,2017
Geostorm,100000000,33700160,220796009,WB,2017
The Snowman,35000000,6670765,43226146,Uni.,2017
The Foreigner,35000000,34393507,140783360,STX,2017
Happy Death Day,5000000,55683845,125010260,Uni.,2017
Blade Runner 2049,185000000,92054159,259357408,WB,2017
The Florida Project,2000000,5904366,11295324,A24,2017
American Made,50000000,51342000,135569212,Uni.,2017
Stronger,30000000,4211129,8786752,RAtt.,2017
Kingsman: The Golden Circle,104000000,100234838,408803696,Fox,2017
Friend Request,9900000,3759078,11310835,ENTMP,2017
Victoria and Abdul,21000000,22245070,68271146,Focus,2017
Battle of the Sexes,25000000,12638526,18445379,FoxS,2017
American Assassin,63000000,36249674,68310140,LGF,2017
mother!,30000000,17800004,42531076,Par.,2017
It,35000000,327481748,697457969,WB (NL),2017
Home Again,15000000,27020284,37336874,ORF,2017
Tulip Fever,25000000,2455635,6792768,Wein.,2017
All Saints,2000000,5802208,5941994,Affirm,2017
Patti Cake$,1000000,800148,1471090,FoxS,2017
Logan Lucky,29000000,27778642,44264271,BST,2017
Annabelle: Creation,15000000,102092201,305384865,WB (NL),2017
The Nut Job 2: Nutty by Nature,40000000,28370522,57438389,ORF,2017
The Dark Tower,60000000,50701325,113461527,Sony,2017
Atomic Blonde,30000000,51573925,98345423,Focus,2017
The Emoji Movie,50000000,86089513,216562312,Sony,2017
Dunkirk,150000000,190068280,499837368,WB,2017
Girls Trip,28000000,115108515,140886353,Uni.,2017
Valerian and the City of a Thousand Planets,180000000,40479370,215098356,STX,2017
War for the Planet of the Apes,152000000,146880162,489592267,Fox,2017
Wish Upon,12000000,14301505,23477345,BG,2017
A Ghost Story,100000,1594798,2769782,A24,2017
Spider-Man: Homecoming,175000000,334201140,880166350,Sony,2017
Despicable Me 3,75000000,264624300,1034727750,Uni.,2017
The House,40000000,25584504,31192425,WB (NL),2017
Baby Driver,34000000,107825862,228104185,TriS,2017
The Big Sick,5000000,42872467,53972860,LGF,2017
Transformers: The Last Knight,217000000,130168683,602893340,Par.,2017
Rough Night,20000000,22105643,46844357,Sony,2017
All Eyez on Me,45000000,44922302,54876855,LG/S,2017
Cars 3,175000000,152901115,383541369,BV,2017
Captain Underpants: The First Epic Movie,38000000,73921000,126577874,Fox,2017
Churchill,10000000,1279681,7582196,Cohen,2017
Wonder Woman,150000000,412563408,821133378,WB,2017
Pirates of the Caribbean: Dead Men Tell No Tales,230000000,172558876,788241137,BV,2017
Baywatch,60000000,58060186,175863783,Par.,2017
Alien: Covenant,97000000,74262031,238521247,Fox,2017
