movie,production_budget,domestic_gross_x,worldwide_gross,studio,year
Dumb and Dumber To,40000000,86208010,156553592,Uni.,2014
Wolves,18000000,0,94953,KE,2014
Big Hero 6,165000000,222527828,652127828,BV,2014
The Theory of Everything,15000000,35893537,123327692,Focus,2014
Interstellar,165000000,188017894,666379375,Par.,2014
Nightcrawler,8500000,32381218,50334418,ORF,2014
John Wick,30000000,43037835,76235001,LG/S,2014
Ouija,5000000,50856010,103300632,Uni.,2014
The Best of Me,26000000,26766213,41059418,Rela.,2014
Camp X-Ray,1000000,9837,101053,IFC,2014
Rudderless,5000000,56001,567219,Gold.,2014
Dear White People,1250000,4404154,5403771,RAtt.,2014
Whiplash,3300000,13092006,38969037,SPC,2014
Dracula Untold,70000000,55991880,220241723,Uni.,2014
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",28000000,66954149,101379287,BV,2014
The Judge,50000000,47119388,76119388,WB,2014
St. Vincent,13000000,44137712,54837234,Wein.,2014
Kill the Messenger,5000000,2450846,6656705,Focus,2014
Addicted,5000000,17390770,17499242,LGF,2014
Gone Girl,61000000,167767189,368567189,Fox,2014
Annabelle,6500000,84273813,256862920,WB (NL),2014
The Boxtrolls,60000000,50837305,111946251,Focus,2014
Two Night Stand,1600000,15600,868081,EOne,2014
The Equalizer,55000000,101530738,192903624,Sony,2014
Tusk,3000000,1821983,1887554,A24,2014
The Maze Runner,34000000,102427862,348319861,Fox,2014
This is Where I Leave You,20000000,34296320,41296320,WB,2014
A Walk Among the Tombstones,28000000,26017685,62108587,Uni.,2014
The Drop,12600000,10724389,19054534,FoxS,2014
The Skeleton Twins,1000000,5284309,5797192,RAtt.,2014
Dolphin Tale 2,36000000,42024533,57824533,WB,2014
Falcon Rising,4500000,11774,11774,Free,2014
The November Man,15000000,25018119,34820335,Rela.,2014
If I Stay,11000000,50474843,78356170,WB (NL),2014
When the Game Stands Tall,15000000,30127963,30138912,TriS,2014
The Expendables 3,100000000,39322544,209461378,LGF,2014
The Giver,25000000,45090374,66540205,Wein.,2014
The Hundred-Foot Journey,22000000,54235441,94270488,BV,2014
Guardians of the Galaxy,170000000,333172112,770867516,BV,2014
A Most Wanted Man,15000000,17237855,36068890,RAtt.,2014
And So It Goes,18000000,15160801,17920013,CE,2014
Lucy,40000000,126573960,457507776,Uni.,2014
The Purge: Anarchy,9000000,71562550,111534881,Uni.,2014
Wish I Was Here,6000000,3591299,6591365,Focus,2014
Sex Tape,40000000,38543473,126069509,Sony,2014
I Origins,1000000,336472,852399,FoxS,2014
Boyhood,4000000,25379975,57273049,IFC,2014
Dawn of the Planet of the Apes,170000000,208545589,710644566,Fox,2014
Earth to Echo,13000000,38934842,42174545,Rela.,2014
Tammy,20000000,84525432,96407655,WB (NL),2014
Snowpiercer,40000000,4563029,88069880,RTWC,2014
Transformers: Age of Extinction,210000000,245439076,1104039076,Par.,2014
Begin Again,8000000,16170632,68838736,Wein.,2014
Jersey Boys,40000000,47047013,65282732,WB,2014
Think Like a Man Too,24000000,65028687,70027933,SGem,2014
The Rover,8500000,1109199,3180252,A24,2014
22 Jump Street,50000000,191719337,331333876,Sony,2014
How to Train Your Dragon 2,145000000,177002924,614586270,Fox,2014
Obvious Child,1000000,3122616,3324070,A24,2014
Anna,4357373,0,1200000,VE,2014
Edge of Tomorrow,178000000,100206256,370541256,WB,2014
Maleficent,180000000,241407328,758536735,BV,2014
Blended,45000000,46290741,127990741,WB,2014
X-Men: Days of Future Past,200000000,233921534,747862775,Fox,2014
Million Dollar Arm,25000000,36447959,39217912,BV,2014
The Immigrant,16000000,2013456,7585011,Wein.,2014
Neighbors,18000000,150086800,270944428,Uni.,2014
Palo Alto,1000000,767732,1156309,Trib.,2014
Ida,2600000,3827060,15298355,MBox,2014
The Amazing Spider-Man 2,200000000,202853933,708996336,Sony,2014
Locke,2000000,1370646,2088390,A24,2014
Brick Mansions,28000000,20396829,73421224,Rela.,2014
The Other Woman,40000000,83911193,195111193,IFC,2011
A Haunted House 2,4000000,17329487,21206861,ORF,2014
Transcendence,100000000,23022309,103039258,WB,2014
13 Sins,4000000,9134,47552,RTWC,2014
Heaven is for Real,12000000,91386097,100916299,TriS,2014
Oculus,5000000,27695246,44115496,Rela.,2014
Rio 2,130000000,131538435,492846291,Fox,2014
Draft Day,25000000,28842237,29847480,LG/S,2014
The Railway Man,18000000,4438438,23910210,Wein.,2014
Captain America: The Winter Soldier,170000000,259746958,714401889,BV,2014
Dom Hemingway,7000000,523511,1857458,FoxS,2014
Noah,130000000,101200044,352831065,Par.,2014
Blood Ties,26000000,42472,2923959,ALP,2011
Divergent,85000000,150947895,276014965,LG/S,2014
Muppets Most Wanted,55000000,51178893,79312301,BV,2014
Need for Speed,66000000,43568507,194169619,BV,2014
Veronica Mars,6000000,3322127,3485383,WB,2014
The Grand Budapest Hotel,31000000,59076019,163981261,FoxS,2014
Mr. Peabody & Sherman,145000000,111506430,269806430,Fox,2014
The Face of Love,4000000,385069,1158877,IFC,2014
The Lunchbox,1700000,4231500,12231500,SPC,2014
Son of God,22000000,59700064,70949793,Fox,2014
Non-Stop,50000000,91742160,222383055,Uni.,2014
3 Days to Kill,28000000,30697999,38959900,Rela.,2014
Pompeii,80000000,23169033,108469033,TriS,2014
The Monuments Men,70000000,78031620,158702748,Sony,2014
Labor Day,18000000,13371528,14189810,Par.,2014
That Awkward Moment,8000000,26068955,53068955,Focus,2014
"I, Frankenstein",65000000,19075290,74575290,LGF,2014
Jack Ryan: Shadow Recruit,60000000,50577412,131377412,Par.,2014
The Nut Job,30000000,64251538,122529966,ORF,2014
Devil's Due,7000000,15821461,36146087,Fox,2014
Ride Along,25000000,134202565,153733800,Uni.,2014
The Legend of Hercules,70000000,18848538,58953319,LG/S,2014
Paranormal Activity: The Marked Ones,5000000,32462372,90904854,Par.,2014
The Wolf of Wall Street,100000000,116900694,389870414,Par.,2013
Lone Survivor,40000000,125095601,149804632,Uni.,2013
Grudge Match,40000000,29807260,69807260,WB,2013
August: Osage County,25000000,37738810,50738810,Wein.,2013
47 Ronin,175000000,38362475,151716815,Uni.,2013
The Secret Life of Walter Mitty,91000000,58236838,187861183,Fox,2013
Dhoom 3,24000000,8031955,11723620,Yash,2013
Walking with Dinosaurs,80000000,36076121,123368842,Fox,2013
Anchorman 2: The Legend Continues,50000000,127352707,172185754,Par.,2013
Saving Mr. Banks,35000000,83299761,114962525,BV,2013
Tyler Perry's A Madea Christmas,25000000,52543354,52543354,LGF,2013
American Hustle,40000000,150117807,257878294,Sony,2013
The Hobbit: The Desolation of Smaug,250000000,258366855,960366855,WB (NL),2013
Inside Llewyn Davis,11000000,13248209,32943247,CBS,2013
Khumba,15000000,0,20898221,MNE,2013
Out of the Furnace,22000000,11330849,15434375,Rela.,2013
Mandela: Long Walk to Freedom,35000000,8323085,29890402,Wein.,2013
Homefront,22000000,20158492,51695362,ORF,2013
Black Nativity,17500000,7018188,7285135,FoxS,2013
The Hunger Games: Catching Fire,130000000,424668047,864868047,LGF,2013
Frozen,150000000,400738009,1272469910,BV,2013
Delivery Man,22000000,30659817,70536870,BV,2013
Philomena,12000000,37709979,98963392,Wein.,2013
The Christmas Candle,7000000,1632000,1933829,ELS,2013
The Best Man Holiday,17000000,70525195,72835710,Uni.,2013
Nebraska,12000000,17654912,24761360,Par.,2013
The Book Thief,19000000,21488481,76086711,Fox,2013
Thor: The Dark World,150000000,206362140,644602516,BV,2013
Free Birds,55000000,55750480,110387072,Rela.,2013
About Time,12000000,15323921,89309178,Uni.,2013
Ender's Game,110000000,61737191,127983283,LG/S,2013
Mr. Nobody,46500000,3622,22254,Magn.,2013
Dallas Buyers Club,5000000,27298285,60611845,Focus,2013
The Counselor,25000000,16973715,71009334,Fox,2013
Jackass Presents: Bad Grandpa,15000000,102003019,160903019,Par.,2013
The Square,1500000,124244,176262,Magn.,2017
Escape Plan,70000000,25135965,103735965,LG/S,2013
The Fifth Estate,26000000,3254172,6154172,BV,2013
12 Years a Slave,20000000,56671993,181025343,FoxS,2013
Machete Kills,20000000,8008161,18273009,ORF,2013
Captain Phillips,55000000,107136417,220648184,Sony,2013
All the Boys Love Mandy Lane,750000,0,1960521,RTWC,2013
Gravity,110000000,274092705,693698673,WB,2013
Runner Runner,30000000,19316646,60512680,Fox,2013
Metallica Through the Never,18000000,3419967,9082906,PH,2013
Baggage Claim,8500000,21569509,22885836,FoxS,2013
Cloudy with a Chance of Meatballs 2,78000000,119793567,274392649,Sony,2013
Don Jon,5500000,24477704,41268579,Rela.,2013
Prisoners,46000000,61002302,113402302,WB,2013
Battle of the Year,20000000,8888355,16723377,SGem,2013
Enough Said,8000000,17550872,25621449,FoxS,2013
Insidious Chapter 2,5000000,83586447,161921515,FD,2013
Riddick,38000000,42025135,94763758,Uni.,2013
One Direction: This is Us,10000000,28873374,68541786,TriS,2013
You're Next,1000000,18494006,26887177,LGF,2013
The World's End,20000000,26004851,47508505,Focus,2013
The Mortal Instruments: City of Bones,60000000,31165421,75965567,SGem,2013
Paranoia,40000000,7388654,16340767,Rela.,2013
Lee Daniels' The Butler,30000000,116632095,177025498,Wein.,2013
Ain't Them Bodies Saints,5000000,391611,1075009,IFC,2013
Kick-Ass 2,28000000,28795985,63129909,Uni.,2013
Jobs,18000000,16131410,43402515,ORF,2013
Elysium,120000000,93050117,286192091,TriS,2013
Percy Jackson: Sea of Monsters,90000000,68559554,200859554,Fox,2013
We're the Millers,37000000,150394119,267816276,WB (NL),2013
The Canyons,250000,59671,62375,IFC,2013
2 Guns,61000000,75612460,132493015,Uni.,2013
The Spectacular Now,2500000,6852971,6916951,A24,2013
The Smurfs 2,110000000,71017784,348547523,Sony,2013
Blue Jasmine,18000000,33404871,102912961,SPC,2013
The Wolverine,115000000,132556852,416456852,Fox,2013
The Conjuring,20000000,137400141,318000141,WB (NL),2013
Only God Forgives,4800000,775849,4494560,RTWC,2013
R.I.P.D.,130000000,33618855,79076678,Uni.,2013
Turbo,135000000,83028130,286896578,Fox,2013
Pacific Rim,190000000,101802906,411002906,WB,2013
Fruitvale Station,900000,16098998,17549645,Wein.,2013
Grown Ups 2,80000000,133668525,247023808,Sony,2013
Despicable Me 2,76000000,368065385,975216835,Uni.,2013
Kevin Hart: Let Me Explain,2500000,32244051,32327255,LG/S,2013
The Lone Ranger,275000000,89302115,260002115,BV,2013
White House Down,150000000,73103784,205440387,Sony,2013
The Heat,43000000,159581587,229727774,Fox,2013
World War Z,190000000,202359711,531514650,Par.,2013
Monsters University,200000000,268488329,743588329,BV,2013
Man of Steel,225000000,291045518,667999518,WB,2013
This is the End,32000000,101470202,126539117,Sony,2013
The Internship,58000000,44672764,93672764,Fox,2013
The Purge,3000000,64473115,91266581,Uni.,2013
After Earth,130000000,60522097,251499665,Sony,2013
The East,6500000,2274649,3027956,FoxS,2013
Now You See Me,75000000,117723989,342769200,LG/S,2013
Yeh Jawaani Hai Deewani,8300000,3827466,50827466,Eros,2013
Before Midnight,3000000,8110621,23251930,SPC,2013
Epic,100000000,107518682,262794441,Fox,2013
Frances Ha,3000000,4067398,11262769,IFC,2013
Star Trek Into Darkness,190000000,228778661,467381584,Par.,2013
Iron Man 3,200000000,408992272,1215392272,BV,2013
Mud,10000000,21590086,31556959,RAtt.,2013
The Reluctant Fundamentalist,15000000,528731,528731,IFC,2013
The Big Wedding,32500000,21819348,48425971,LGF,2013
Oblivion,120000000,89107235,287916633,Uni.,2013
Trance,16000000,2322593,22594052,FoxS,2013
The Place Beyond the Pines,15000000,21403519,47011449,Focus,2013
G.I. Joe: Retaliation,140000000,122523060,375740705,Par.,2013
Olympus Has Fallen,70000000,98927592,172878928,FD,2013
Admission,13000000,18007317,18733666,Focus,2013
The Sapphires,9000000,2450867,20395040,Wein.,2013
On the Road,25000000,720828,9313302,IFC,2012
The Croods,135000000,187168425,573068425,Fox,2013
The Incredible Burt Wonderstone,32000000,22537881,27392609,WB (NL),2013
Spring Breakers,5000000,14124286,31149251,A24,2013
The Call,12800000,51872378,69821476,TriS,2013
Upside Down,50000000,102118,26387039,MNE,2013
Dead Man Down,30000000,10895295,19599974,FD,2013
Stoker,12000000,1703125,12034913,FoxS,2013
Jack the Giant Slayer,195000000,65187603,197687603,WB (NL),2013
21 and Over,13000000,25682380,42195766,Rela.,2013
The Last Exorcism Part II,4000000,15179303,25448707,CBS,2013
The Sweeney,4500000,26345,8000366,EOne,2013
Snitch,15000000,42930462,57907734,LG/S,2013
Dark Skies,3500000,17418667,27704111,W/Dim.,2013
Escape From Planet Earth,40000000,57012977,74156610,Wein.,2013
A Good Day to Die Hard,92000000,67349198,304249198,Fox,2013
Safe Haven,28000000,71399120,94050951,Rela.,2013
Identity Thief,35000000,134506920,175361578,Uni.,2013
ABCD (Any Body Can Dance),1900000,222098,10137234,UTV,2013
Bullet to the Head,55000000,9489829,22597969,WB,2013
Warm Bodies,30000000,66380662,115121608,LG/S,2013
Last Vegas,28000000,63914167,112914167,CBS,2013
Movie 43,10000000,8840453,31164747,Rela.,2013
Parker,35000000,17616641,48543388,FD,2013
Broken City,35000000,19701164,34480045,Fox,2013
The Last Stand,30000000,12050299,48330757,LGF,2013
Mama,15000000,71628180,148095566,Uni.,2013
Gangster Squad,60000000,46000903,104100903,WB,2013
A Haunted House,2500000,40041683,59922558,ORF,2013
Quartet,11000000,18388357,56178935,Wein.,2013
Texas Chainsaw 3D,20000000,34341945,47666013,LGF,2013
Parental Guidance,25000000,77267296,120832383,Fox,2012
Django Unchained,100000000,162805434,449948323,Wein.,2012
Jack Reacher,60000000,80070736,217370736,Par.,2012
The Impossible,40000000,19019882,169590606,LG/S,2012
The Guilt Trip,40000000,37134215,41294674,Par.,2012
Zero Dark Thirty,52500000,95720716,134612435,Sony,2012
Amour,9700000,6738954,36787044,SPC,2012
The Hobbit: An Unexpected Journey,250000000,303003568,1017003568,WB (NL),2012
Khiladi 786,5600000,385422,14683763,Eros,2012
Killing Them Softly,15000000,14945541,39238443,Wein.,2012
The Collection,10000000,6810754,8890094,LD,2012
Life of Pi,120000000,124987022,620912003,Fox,2012
Rise of the Guardians,145000000,103412758,306900902,P/DW,2012
Anna Karenina,49000000,12816367,71004627,Focus,2012
Silver Linings Playbook,21000000,132092958,236412453,Wein.,2012
Jab Tak Hai Jaan,9200000,3047539,5806666,Yash,2012
Lincoln,65000000,182207973,273346281,BV,2012
Skyfall,200000000,304360277,1110526981,Sony,2012
Flight,31000000,93772375,160558438,Par.,2012
The Man with the Iron Fists,15000000,15634090,22018988,Uni.,2012
Wreck-It Ralph,165000000,189412677,496511521,BV,2012
Chasing Mavericks,20000000,6002756,8300821,Fox,2012
Silent Hill: Revelation 3D,20000000,17530219,55975672,ORF,2012
Fun Size,14000000,9409538,11166615,Par.,2012
Cloud Atlas,102000000,27108272,130673154,WB,2012
Alex Cross,35000000,25888412,35426759,LG/S,2012
The First Time,2000000,17061,17061,Gold.,2012
The Sessions,1000000,6002451,11495204,FoxS,2012
Paranormal Activity 4,5000000,53900335,142817992,Par.,2012
Holy Motors,4000000,641054,4230426,IM,2012
Here Comes the Boom,42000000,45290318,73239258,Sony,2012
Seven Psychopaths,13500000,15024049,33035736,CBS,2012
Argo,44500000,136025503,227140757,WB,2012
Sinister,3000000,48086903,87727807,LG/S,2012
The Paperboy,12500000,677200,4027663,MNE,2012
Taken 2,45000000,139854287,377807404,Fox,2012
Frankenweenie,39000000,35287788,81150788,BV,2012
Pitch Perfect,17000000,65001093,116044347,Uni.,2012
Won't Back Down,19000000,5310554,5745503,Fox,2012
Looper,30000000,66486205,170466405,TriS,2012
Hotel Transylvania,85000000,148313048,378505812,Sony,2012
Trouble with the Curve,60000000,35763137,47818913,WB,2012
The Perks of Being a Wallflower,13000000,17742948,33069303,LG/S,2012
End of Watch,15000000,41003371,57586606,ORF,2012
Dredd,45000000,13414714,41467606,LGF,2012
Arbitrage,12000000,7919574,35830713,RAtt.,2012
The Master,37500000,16247159,50647416,Wein.,2012
Resident Evil: Retribution,65000000,42345531,240647629,SGem,2012
The Cold Light of Day,20000000,3763583,25361206,LG/S,2012
The Words,6000000,11494838,16369708,CBS,2012
Bachelorette,3000000,446770,12577401,RTWC,2012
The Possession,14000000,49130588,82925064,LGF,2012
Lawless,26000000,37397291,54393687,Wein.,2012
The Apparition,17000000,4936819,10637281,WB,2012
Samsara,4000000,2672413,5966671,Osci.,2012
Premium Rush,35000000,20275446,31393201,Sony,2012
Compliance,270000,319285,830700,Magn.,2012
The Expendables 2,100000000,85028192,311979256,LGF,2012
Robot & Frank,2500000,3317468,4934356,Gold.,2012
ParaNorman,60000000,56003051,108119662,Focus,2012
The Odd Life of Timothy Green,40000000,51853450,55249159,BV,2012
The Bourne Legacy,125000000,113203870,280355920,Uni.,2012
The Campaign,95000000,86907746,104907746,WB,2012
Hope Springs,30000000,63536011,133085295,Sony,2012
Diary of a Wimpy Kid: Dog Days,22000000,49008662,77229695,Fox,2012
Celeste and Jesse Forever,840000,3103407,3787689,SPC,2012
Killer Joe,10000000,1291645,4659110,LD,2012
Step Up Revolution,33000000,35074677,165552290,LG/S,2012
The Watch,55000000,34353000,67130045,Fox,2012
The Dark Knight Rises,275000000,448139099,1084439099,WB,2012
Ice Age: Continental Drift,95000000,161321843,879765137,Fox,2012
Katy Perry: Part of Me,12000000,25326071,32700439,Par.,2012
The Amazing Spider-Man,220000000,262030663,757890267,Sony,2012
Magic Mike,7000000,113721571,170549753,WB,2012
Tyler Perry's Madea's Witness Protection,20000000,65653242,66950887,LGF,2012
Ted,50000000,218665740,556016627,Uni.,2012
People Like Us,16000000,12431792,12617472,BV,2012
Beasts of the Southern Wild,1800000,12795746,23265132,FoxS,2012
Seeking a Friend for the End of the World,10000000,7078738,11766959,Focus,2012
To Rome with Love,21500000,16684352,74326015,SPC,2012
Brave,185000000,237282182,554606532,BV,2012
Abraham Lincoln: Vampire Hunter,67500000,37519139,137489730,Fox,2012
That's My Boy,57500000,36931089,58085235,Sony,2012
Rock of Ages,70000000,38518613,61031932,WB (NL),2012
Your Sister's Sister,120000,1597486,3090593,IFC,2012
Safety Not Guaranteed,750000,4010957,4422318,FD,2012
Madagascar 3: Europe's Most Wanted,145000000,216391482,746921271,P/DW,2012
Prometheus,125000000,126477084,402448265,Fox,2012
High School,10000000,139034,248133,Anch.,2012
Snow White and the Huntsman,170000000,155136755,401021746,Uni.,2012
Moonrise Kingdom,16000000,45512466,68848446,Focus,2012
Chernobyl Diaries,1000000,18119640,42411721,WB,2012
Battleship,220000000,65233400,313477717,Uni.,2012
Polisse,8900000,176988,22744132,IFC,2012
What to Expect When You're Expecting,37500000,41152203,88473016,LGF,2012
The Dictator,65000000,59650222,180148897,Par.,2012
Dark Shadows,150000000,79727149,238202668,WB,2012
A Little Bit of Heaven,12500000,10011,1100287,MNE,2012
The Best Exotic Marigold Hotel,10000000,46383639,134639780,FoxS,2012
The Five-Year Engagement,30000000,28700285,61623819,Uni.,2012
The Raven,26000000,16008272,30601801,Rela.,2012
Bernie,6000000,9204489,10106975,MNE,2012
Sound of My Voice,135000,408015,429448,FoxS,2012
The Pirates! Band of Misfits,55000000,31051126,136143605,Sony,2012
Darling Companion,12000000,793352,1200346,SPC,2012
The Lucky One,25000000,60457138,96633833,WB,2012
Think Like a Man,12000000,91547205,113373764,SGem,2012
The Cabin in the Woods,30000000,42073277,70689968,LGF,2012
The Three Stooges,30000000,44338224,54052249,Fox,2012
Lockout,20000000,14326865,33943049,FD,2012
American Reunion,50000000,56758835,236799211,Uni.,2012
Damsels in Distress,3000000,1007535,1324299,SPC,2012
Mirror Mirror,85000000,64935167,173613482,Rela.,2012
Wrath of the Titans,150000000,83670083,305270083,WB,2012
The Hunger Games,80000000,408010692,677923379,LGF,2012
"Jeff, Who Lives at Home",10000000,4269426,4708127,ParV,2012
21 Jump Street,42000000,138447667,202812429,Sony,2012
Silent House,2000000,12739737,16610760,ORF,2012
John Carter,275000000,73058679,282778100,BV,2012
A Thousand Words,40000000,18450127,20790486,P/DW,2012
Project X,12000000,54731865,103028188,WB,2012
Act of Valor,12000000,70012847,82497035,Rela.,2012
Wanderlust,32500000,17288155,24159934,Uni.,2012
Tyler Perry's Good Deeds,14000000,35025791,35579177,LGF,2012
Ghost Rider: Spirit of Vengeance,57000000,51774002,149217355,Sony,2012
This Means War,65000000,54760791,156974557,Fox,2012
Safe House,85000000,126181630,208542162,Uni.,2012
Journey 2: The Mysterious Island,79000000,103860290,318146162,WB (NL),2012
The Vow,30000000,125014030,197618160,SGem,2012
The Innkeepers,750000,78396,1011535,Magn.,2012
Kill List,800000,29063,462206,IFC,2012
The Woman in Black,15000000,54333290,128955898,CBS,2012
Big Miracle,40000000,20157300,25268680,Uni.,2012
Man on a Ledge,42000000,18620000,49621440,LG/S,2012
The Grey,25000000,51580136,81249176,ORF,2012
Red Tails,58000000,49876377,50365498,Fox,2012
Coriolanus,10000000,749641,2179623,Wein.,2012
Haywire,23000000,18942396,36374700,Rela.,2012
Joyful Noise,27500000,30932113,31157914,WB,2012
We Need to Talk About Kevin,7000000,1738692,10765283,Osci.,2011
Contraband,25000000,66528000,98406855,Uni.,2012
The Iron Lady,14000000,29959436,115592104,Wein.,2011
The Devil Inside,1000000,53262945,101759490,Par.,2012
War Horse,70000000,79883359,156815529,BV,2011
The Darkest Hour,34800000,21443494,62831715,Sum.,2011
We Bought a Zoo,50000000,75624550,118729073,Fox,2011
The Adventures of Tintin,130000000,77591831,373993951,Par.,2011
Albert Nobbs,7500000,3014696,8539003,RAtt.,2012
The Girl with the Dragon Tattoo,90000000,102515793,239373970,MBox,2010
Alvin and the Chipmunks: Chipwrecked,80000000,133107389,349088523,Fox,2011
Sherlock Holmes: A Game of Shadows,125000000,186848418,535663443,WB,2011
The Sitter,25000000,30542576,38749404,Fox,2011
Young Adult,12000000,16311571,22750356,Par.,2011
Shame,6500000,4002293,20412841,FoxS,2011
The Artist,16000000,44667095,128256712,Wein.,2011
Arthur Christmas,85000000,46462469,149717124,Sony,2011
The Muppets,45000000,88625922,160971922,BV,2011
My Week with Marilyn,10000000,14597405,34240572,Wein.,2011
A Dangerous Method,20000000,5702083,14807531,SPC,2011
Hugo,180000000,73864507,180047784,Par.,2011
Another Happy Day,4000000,9120,978527,P4,2011
Happy Feet Two,135000000,64006466,157956466,WB,2011
The Descendants,20000000,82624961,175507800,FoxS,2011
Jack and Jill,79000000,74158157,150519217,Sony,2011
Immortals,75000000,83504017,211562435,Rela.,2011
Melancholia,9400000,3030848,21817298,Magn.,2011
J. Edgar,35000000,37306030,84606030,WB,2011
Tower Heist,85000000,78046570,150422946,Uni.,2011
A Very Harold & Kumar 3D Christmas,20000000,35061031,36265745,WB,2011
The Son of No One,15000000,30680,1148578,Anch.,2011
The Rum Diary,45000000,13109815,21544732,FD,2011
Like Crazy,250000,3395391,3728400,ParV,2011
In Time,35000000,37553932,165103952,Fox,2011
Puss in Boots,130000000,149260504,554987477,P/DW,2011
Anonymous,27500000,4463292,15815509,Sony,2011
Paranormal Activity 3,5000000,104028807,207039844,Par.,2011
Margin Call,3400000,5353586,20433227,RAtt.,2011
Johnny English Reborn,45000000,8406711,164640401,Uni.,2011
Martha Marcy May Marlene,1000000,2981038,5438911,FoxS,2011
Le Havre,5500000,611709,13480196,Jan.,2011
Fireflies in the Garden,8000000,36884,3587191,Uni.,2011
The Big Year,41000000,7204138,7684524,Fox,2011
The Ides of March,23000000,40962534,77735925,Sony,2011
Real Steel,110000000,85463309,263880341,BV,2011
Blackthorn,4500000,200558,1217307,Magn.,2011
Courageous,2000000,34522221,35185884,TriS,2011
Dream House,50000000,21302340,41642166,Uni.,2011
Take Shelter,4750000,1728953,4972016,SPC,2011
50/50,8000000,35016118,41334735,Sum.,2011
What's Your Number?,20000000,14011084,30163785,Fox,2011
Margaret,14000000,47185,623292,FoxS,2011
Machine Gun Preacher,30000000,538690,3721988,Rela.,2011
Moneyball,50000000,75605492,111300835,Sony,2011
Red State,4000000,1065429,1983596,SMod,2011
Abduction,35000000,28087155,86648359,LGF,2011
Killer Elite,70000000,25124986,65409046,ORF,2011
Dolphin Tale,37000000,72286779,96068724,WB,2011
I Don't Know How She Does It,24000000,9659074,24474463,Wein.,2011
Contagion,60000000,75658097,137551594,WB,2011
Warrior,25000000,13657115,24215385,LGF,2011
Shark Night 3D,25000000,18877153,18877153,Rela.,2011
Apollo 18,5000000,17686929,26517819,W/Dim.,2011
The Debt,20000000,31177548,46604054,Focus,2011
Don't Be Afraid of the Dark,25000000,24046682,39126427,FD,2011
Circumstance,900000,454121,958978,RAtt.,2011
Colombiana,40000000,36665854,72295262,TriS,2011
Our Idiot Brother,5000000,24814830,25861249,Wein.,2011
Brighton Rock,11000000,229653,229653,IFC,2011
Higher Ground,1800000,841056,842693,SPC,2011
One Day,15000000,13843771,59168692,Focus,2011
Spy Kids: All the Time in the World,27000000,38536376,80681183,W/Dim.,2011
5 Days of War,12000000,17479,87793,Anch.,2011
30 Minutes or Less,28000000,37053924,40966716,Sony,2011
Final Destination 5,40000000,42587643,155011165,WB (NL),2011
The Help,25000000,169705587,213120004,BV,2011
The Change-Up,52000000,37243418,75997067,Uni.,2011
Rise of the Planet of the Apes,93000000,176760185,470986200,Fox,2011
The Devil's Double,19100000,1361512,5965646,LGF,2011
The Future,1000000,568662,1239174,RAtt.,2011
The Smurfs,110000000,142614158,563749323,Sony,2011
Attack the Block,13000000,1024175,6459183,SGem,2011
The Guard,6000000,5359774,21197454,SPC,2011
Captain America: The First Avenger,140000000,176654505,370569776,Par.,2011
Another Earth,175000,1321194,2102779,FoxS,2011
Friends with Benefits,35000000,55802754,146595891,SGem,2011
Snow Flower and the Secret Fan,6000000,1348205,11348205,FoxS,2011
Winnie the Pooh,30000000,26692846,50145607,BV,2011
Zookeeper,80000000,80360866,170805525,Sony,2011
Horrible Bosses,35000000,117538559,212417601,WB (NL),2011
Monte Carlo,20000000,23186769,39686769,Fox,2011
Larry Crowne,30000000,35608245,61449135,Uni.,2011
Transformers: Dark of the Moon,195000000,352390543,1123790543,P/DW,2011
A Better Life,10000000,1759252,1884251,Sum.,2011
Bad Teacher,19000000,100292856,215448997,Sony,2011
Cars 2,200000000,191450875,560155383,BV,2011
The Art of Getting By,4000000,1430241,1989035,FoxS,2011
Green Lantern,200000000,116601172,219535492,WB,2011
Super 8,50000000,127004179,257972745,Par.,2011
Beginners,3200000,5790894,14314407,Focus,2011
Submarine,1900000,467602,4581937,Wein.,2011
X-Men: First Class,160000000,146408305,355408305,Fox,2011
The Tree of Life,35000000,13305665,61721826,FoxS,2011
The Hangover Part II,80000000,254464305,586464305,WB,2011
Kung Fu Panda 2,150000000,165249063,664837547,P/DW,2011
Midnight in Paris,30000000,56816662,162502774,SPC,2011
Pirates of the Caribbean: On Stranger Tides,410600000,241063875,1045663875,BV,2011
Everything Must Go,5000000,2712131,2821010,RAtt.,2011
Priest,60000000,29136626,84154026,SGem,2011
Hesher,7000000,382946,382946,WHE,2011
Bridesmaids,32500000,169211718,289632023,Uni.,2011
Something Borrowed,35000000,39046489,65084116,WB,2011
Jumping the Broom,7000000,37295394,38158601,TriS,2011
Thor,150000000,181030624,449326618,Par.,2011
The Beaver,21000000,970816,5046038,Sum.,2011
There Be Dragons,36000000,1069334,4020990,Gold.,2011
Dylan Dog: Dead of Night,20000000,1186538,6093725,OMNI/FSR,2011
Prom,8000000,10130219,10763183,BV,2011
Fast Five,125000000,210031325,630163454,Uni.,2011
POM Wonderful Presents: The Greatest Movie Ever Sold,1800000,638476,783733,SPC,2011
Dum Maaro Dum,5200000,564489,11633427,FoxS,2011
Stake Land,4000000,33245,679482,IFC,2011
Water for Elephants,38000000,58709717,116809717,Fox,2011
